class_name,num_methods,num_fields,loc,is_large_class,is_god_class
Audit_details,5,10,281,0,0
Choice,8,27,408,0,1
ChoicesData,1,11,69,0,0
CounsellingResult,9,13,338,0,1
db,1,1,33,0,0
DbUtils,0,0,14,0,0
Emp,0,1,17,0,0
Login,6,16,290,0,0
MainMenu,6,11,232,0,0
Result,2,1,95,0,0
StudentData,1,11,76,0,0
StudentInformation,16,51,903,1,1
StudentInformationSystem,1,0,21,0,0
users,8,19,471,0,1
bank,1,0,99,0,0
bankManagement,4,3,229,0,0
connection,1,1,29,0,0
Bank,3,1,83,0,0
Account,4,3,83,0,0
BankingSystem,1,0,83,0,0
BudgetTracker,4,1,56,0,0
Info,11,10,379,0,1
Ehospital,1,0,379,0,1
Info,11,10,379,0,1
Ehospital,1,0,379,0,1
AccountantBean,12,2,68,0,0
StudentBean,20,4,101,1,0
AccountantDao,6,0,114,0,0
DB,1,0,12,0,0
StudentDao,7,0,147,0,0
AccountantLogin,2,0,57,0,0
AddAccountant,1,0,54,0,0
AddAccountantForm,1,0,49,0,0
AddStudent,1,0,56,0,0
AddStudentForm,1,0,47,0,0
AdminLogin,2,0,51,0,0
DeleteAccountant,1,0,20,0,0
DeleteStudent,1,0,19,0,0
DueFee,1,0,52,0,0
EditAccountant,1,0,36,0,0
EditAccountantForm,1,1,59,0,0
EditStudent,1,0,38,0,0
EditStudentForm,1,0,58,0,0
LogoutAccountant,1,0,41,0,0
LogoutAdmin,1,0,42,0,0
SearchStudent,1,0,56,0,0
SearchStudentForm,1,0,36,0,0
ViewAccountant,1,0,49,0,0
ViewStudent,1,0,48,0,0
AccountantBean,12,2,68,0,0
StudentBean,20,4,101,1,0
AccountantDao,6,0,112,0,0
DB,1,0,12,0,0
StudentDao,7,0,147,0,0
AccountantLogin,2,0,57,0,0
AddAccountant,1,0,54,0,0
AddAccountantForm,1,0,49,0,0
AddStudent,1,0,56,0,0
AddStudentForm,1,0,47,0,0
AdminLogin,2,0,51,0,0
DeleteAccountant,1,0,20,0,0
DeleteStudent,1,0,19,0,0
DueFee,1,0,52,0,0
EditAccountant,1,0,36,0,0
EditAccountantForm,1,1,59,0,0
EditStudent,1,0,38,0,0
EditStudentForm,1,0,58,0,0
LogoutAccountant,1,0,41,0,0
LogoutAdmin,1,0,42,0,0
SearchStudent,1,0,56,0,0
SearchStudentForm,1,0,36,0,0
ViewAccountant,1,0,49,0,0
ViewStudent,1,0,48,0,0
as,2,1,47,0,0
srv1,2,1,48,0,0
Library,4,2,49,0,0
Project_3,1,0,49,0,0
AddBookMenu,2,0,70,0,0
AddMemberMenu,2,0,61,0,0
Book,12,6,80,0,0
LibFunctions,4,0,122,0,0
LibUtil,1,0,40,0,0
Member,6,3,53,0,0
UserMenu,2,0,64,0,0
Client,1,1,34,0,0
Item,6,3,45,0,0
OrderBean,7,0,153,0,0
Cart,9,1,171,0,0
Customer,15,5,200,0,0
Item,6,3,43,0,0
User,18,7,210,1,0
sample,9,10,109,0,0
againvote,1,1,18,0,0
DBUtilR,1,1,30,0,0
loginpage,3,3,71,0,0
registration,2,1,75,0,0
thankyou,1,1,17,0,0
vote,3,3,97,0,0
Controller,34,20,1923,1,1
Controller_GUI,36,14,672,1,1
Database,39,17,876,1,1
StaffComparator,1,0,876,0,1
MenuItemComparator,1,0,876,0,1
DatabaseException,1,1,12,0,0
Employee,2,1,31,0,0
Manager,2,1,34,0,0
MenuItem,11,12,98,0,0
Order,11,9,125,0,0
OrderDetail,6,5,56,0,0
RMS,1,0,12,0,0
RMS_GUI,1,0,12,0,0
Staff,21,12,203,1,0
UserInterface,32,4,531,1,1
UserInterface_GUI,14,44,2301,0,1
LoginPanel,4,6,2301,0,1
MenuListPanel,3,8,2301,0,1
MenuManagementPanel,4,5,2301,0,1
EditMenuItemPanel,6,10,2301,0,1
EmployeeListPanel,4,6,2301,0,1
EditEmployeePanel,6,10,2301,0,1
OrderListPanel,9,11,2301,0,1
OrderDetailPanel,8,25,2301,0,1
TotalSalesPanel,7,8,2301,0,1
