method_name,loc,num_params
Update_table3,1,0
initComponents,5,0
actionPerformed,1,1
keyReleased,1,1
txt_searchKeyReleased,1,1
jButton1ActionPerformed,1,1
main,3,1
run,1,0
initComponents,5,0
actionPerformed,1,1
actionPerformed,1,1
actionPerformed,1,1
actionPerformed,1,1
jComboBox6ActionPerformed,1,1
jButton1ActionPerformed,1,1
getScreenShot,1,1
SaveScreenShot,1,2
PrintActionPerformed,1,1
jTextField1ActionPerformed,1,1
main,3,1
run,1,0
Store,1,1
initComponents,5,0
actionPerformed,1,1
actionPerformed,1,1
actionPerformed,1,1
actionPerformed,1,1
actionPerformed,1,1
jTextField1ActionPerformed,1,1
jTextField2ActionPerformed,1,1
getScreenShot,1,1
SaveScreenShot,1,2
jButton2ActionPerformed,1,1
jButton1ActionPerformed,1,1
jTextField4ActionPerformed,1,1
main,3,1
run,1,0
java_db,1,0
currentDate,1,0
initComponents,5,0
actionPerformed,1,1
actionPerformed,1,1
actionPerformed,1,1
jButton1ActionPerformed,1,1
txt_usernameActionPerformed,1,1
txt_comboActionPerformed,1,1
main,3,1
run,1,0
initComponents,5,0
actionPerformed,1,1
actionPerformed,1,1
actionPerformed,1,1
actionPerformed,1,1
jButton5ActionPerformed,1,1
jButton1ActionPerformed,1,1
jMenuItem1ActionPerformed,1,1
jMenuItem2ActionPerformed,1,1
main,3,1
run,1,0
initComponents,5,0
main,3,1
run,1,0
Store,1,0
currentDate,1,0
initComponents,5,0
actionPerformed,1,1
actionPerformed,1,1
actionPerformed,1,1
actionPerformed,1,1
actionPerformed,1,1
actionPerformed,1,1
actionPerformed,1,1
actionPerformed,1,1
actionPerformed,1,1
componentRemoved,1,1
actionPerformed,1,1
keyReleased,1,1
actionPerformed,1,1
jMenuItem1ActionPerformed,1,1
jButton1ActionPerformed,1,1
cmd_saveActionPerformed,1,1
txt_aptActionPerformed,1,1
txt_firstnameActionPerformed,1,1
r_femaleActionPerformed,1,1
r_maleActionPerformed,1,1
jButton3ActionPerformed,1,1
txt_search1ComponentRemoved,1,1
txt_search1ActionPerformed,1,1
txt_search1KeyReleased,1,1
button2ActionPerformed,1,1
txt_addressActionPerformed,1,1
main,3,1
run,1,0
main,3,1
Fillcombobox,1,0
initComponents,5,0
actionPerformed,1,1
popupMenuCanceled,1,1
popupMenuWillBecomeInvisible,1,1
popupMenuWillBecomeVisible,1,1
actionPerformed,1,1
actionPerformed,1,1
actionPerformed,1,1
