method_name,loc,num_params,is_long_method,is_long_param
Update_table3,1,0,0,0
initComponents,5,0,0,0
actionPerformed,1,1,0,0
keyReleased,1,1,0,0
txt_searchKeyReleased,1,1,0,0
jButton1ActionPerformed,1,1,0,0
main,3,1,0,0
run,1,0,0,0
initComponents,5,0,0,0
actionPerformed,1,1,0,0
actionPerformed,1,1,0,0
actionPerformed,1,1,0,0
actionPerformed,1,1,0,0
jComboBox6ActionPerformed,1,1,0,0
jButton1ActionPerformed,1,1,0,0
getScreenShot,1,1,0,0
SaveScreenShot,1,2,0,0
PrintActionPerformed,1,1,0,0
jTextField1ActionPerformed,1,1,0,0
main,3,1,0,0
run,1,0,0,0
Store,1,1,0,0
initComponents,5,0,0,0
actionPerformed,1,1,0,0
actionPerformed,1,1,0,0
actionPerformed,1,1,0,0
actionPerformed,1,1,0,0
actionPerformed,1,1,0,0
jTextField1ActionPerformed,1,1,0,0
jTextField2ActionPerformed,1,1,0,0
getScreenShot,1,1,0,0
SaveScreenShot,1,2,0,0
jButton2ActionPerformed,1,1,0,0
jButton1ActionPerformed,1,1,0,0
jTextField4ActionPerformed,1,1,0,0
main,3,1,0,0
run,1,0,0,0
java_db,1,0,0,0
currentDate,1,0,0,0
initComponents,5,0,0,0
actionPerformed,1,1,0,0
actionPerformed,1,1,0,0
actionPerformed,1,1,0,0
jButton1ActionPerformed,1,1,0,0
txt_usernameActionPerformed,1,1,0,0
txt_comboActionPerformed,1,1,0,0
main,3,1,0,0
run,1,0,0,0
initComponents,5,0,0,0
actionPerformed,1,1,0,0
actionPerformed,1,1,0,0
actionPerformed,1,1,0,0
actionPerformed,1,1,0,0
jButton5ActionPerformed,1,1,0,0
jButton1ActionPerformed,1,1,0,0
jMenuItem1ActionPerformed,1,1,0,0
jMenuItem2ActionPerformed,1,1,0,0
main,3,1,0,0
run,1,0,0,0
initComponents,5,0,0,0
main,3,1,0,0
run,1,0,0,0
Store,1,0,0,0
currentDate,1,0,0,0
initComponents,5,0,0,0
actionPerformed,1,1,0,0
actionPerformed,1,1,0,0
actionPerformed,1,1,0,0
actionPerformed,1,1,0,0
actionPerformed,1,1,0,0
actionPerformed,1,1,0,0
actionPerformed,1,1,0,0
actionPerformed,1,1,0,0
actionPerformed,1,1,0,0
componentRemoved,1,1,0,0
actionPerformed,1,1,0,0
keyReleased,1,1,0,0
actionPerformed,1,1,0,0
jMenuItem1ActionPerformed,1,1,0,0
jButton1ActionPerformed,1,1,0,0
cmd_saveActionPerformed,1,1,0,0
txt_aptActionPerformed,1,1,0,0
txt_firstnameActionPerformed,1,1,0,0
r_femaleActionPerformed,1,1,0,0
r_maleActionPerformed,1,1,0,0
jButton3ActionPerformed,1,1,0,0
txt_search1ComponentRemoved,1,1,0,0
txt_search1ActionPerformed,1,1,0,0
txt_search1KeyReleased,1,1,0,0
button2ActionPerformed,1,1,0,0
